Algorithm,Allocation,Processes,Avg Latency(us)
linear,socket,2,1.39
linear,socket,3,1.54
linear,socket,4,1.85
linear,socket,5,1.91
linear,socket,6,2.78
linear,socket,7,2.58
linear,socket,8,2.83
linear,socket,9,3.09
linear,socket,10,3.26
linear,socket,11,3.07
linear,socket,12,3.47
linear,socket,13,3.41
linear,socket,14,3.69
linear,socket,15,4.39
linear,socket,16,4.29
linear,socket,17,3.9
linear,socket,18,4.38
linear,socket,19,5.37
linear,socket,20,5.62
linear,socket,21,6.38
linear,socket,22,5.95
linear,socket,23,6.35
linear,socket,24,7.1
linear,socket,25,5.97
linear,socket,26,6.17
linear,socket,27,7.57
linear,socket,28,9.88
linear,socket,29,6.84
linear,socket,30,8.78
linear,socket,31,8.8
linear,socket,32,8.04
linear,socket,33,8.6
linear,socket,34,8.57
linear,socket,35,8.68
linear,socket,36,9.46
linear,socket,37,9.82
linear,socket,38,10.46
linear,socket,39,9.78
linear,socket,40,10.76
linear,socket,41,13.32
linear,socket,42,10.48
linear,socket,43,10.7
linear,socket,44,10.65
linear,socket,45,10.24
linear,socket,46,10.88
linear,socket,47,11.07
linear,socket,48,11.45
linear,socket,49,11.75
linear,socket,50,11.8
linear,socket,51,12.06
linear,socket,52,13.09
linear,socket,53,13.2
linear,socket,54,13.48
linear,socket,55,14.65
linear,socket,56,13.97
linear,socket,57,14.61
linear,socket,58,15.41
linear,socket,59,15.14
linear,socket,60,16.16
linear,socket,61,16.48
linear,socket,62,16.51
linear,socket,63,17.08
linear,socket,64,17.4
linear,socket,65,15.16
linear,socket,66,21.71
linear,socket,67,17.3
linear,socket,68,17.77
linear,socket,69,19.59
linear,socket,70,18.22
linear,socket,71,18.93
linear,socket,72,19.82
linear,socket,73,18.8
linear,socket,74,19.27
linear,socket,75,20.52
linear,socket,76,19.97
linear,socket,77,22.97
linear,socket,78,20.56
linear,socket,79,21.54
linear,socket,80,22.09
linear,socket,81,22.52
linear,socket,82,22.22
linear,socket,83,23.55
linear,socket,84,29.16
linear,socket,85,23.35
linear,socket,86,24.85
linear,socket,87,24.32
linear,socket,88,25.38
linear,socket,89,24.62
linear,socket,90,26.27
linear,socket,91,26.07
linear,socket,92,26.91
linear,socket,93,26.45
linear,socket,94,27.65
linear,socket,95,27.15
linear,socket,96,34.4
linear,socket,97,25.63
linear,socket,98,28.64
linear,socket,99,29.58
linear,socket,100,30.0
linear,socket,101,29.75
linear,socket,102,30.94
linear,socket,103,32.56
linear,socket,104,30.63
linear,socket,105,31.49
linear,socket,106,31.79
linear,socket,107,35.11
linear,socket,108,36.45
linear,socket,109,34.16
linear,socket,110,34.25
linear,socket,111,37.34
linear,socket,112,37.39
linear,socket,113,35.22
linear,socket,114,38.44
linear,socket,115,37.6
linear,socket,116,42.6
linear,socket,117,37.51
linear,socket,118,38.4
linear,socket,119,36.43
linear,socket,120,42.43
linear,socket,121,85.66
linear,socket,122,38.9
linear,socket,123,39.82
linear,socket,124,85.67
linear,socket,125,125.0
linear,socket,126,42.03
linear,socket,127,104.23
linear,socket,128,101.0
linear,socket,129,255.85
linear,socket,130,535.66
linear,socket,131,76.12
linear,socket,132,43.41
linear,socket,133,43.71
linear,socket,134,47.09
linear,socket,135,72.38
linear,socket,136,47.34
linear,socket,137,91.92
linear,socket,138,270.72
linear,socket,139,44.33
linear,socket,140,96.61
linear,socket,141,83.21
linear,socket,142,45.15
linear,socket,143,237.42
linear,socket,144,128.9
linear,socket,145,437.04
linear,socket,146,398.31
linear,socket,147,116.32
linear,socket,148,132.17
linear,socket,149,80.92
linear,socket,150,54.06
linear,socket,151,96.85
linear,socket,152,92.77
linear,socket,153,345.56
linear,socket,154,385.52
linear,socket,155,54.66
linear,socket,156,402.33
linear,socket,157,117.27
linear,socket,158,101.43
linear,socket,159,48.95
linear,socket,160,432.75
linear,socket,161,468.86
linear,socket,162,545.32
linear,socket,163,221.49
linear,socket,164,104.02
linear,socket,165,478.48
linear,socket,166,106.09
linear,socket,167,101.14
linear,socket,168,92.9
linear,socket,169,382.05
linear,socket,170,59.39
linear,socket,171,132.32
linear,socket,172,337.93
linear,socket,173,445.4
linear,socket,174,97.23
linear,socket,175,385.31
linear,socket,176,126.38
linear,socket,177,91.78
linear,socket,178,364.51
linear,socket,179,328.56
linear,socket,180,229.27
linear,socket,181,444.73
linear,socket,182,128.98
linear,socket,183,110.32
linear,socket,184,110.27
linear,socket,185,124.56
linear,socket,186,356.16
linear,socket,187,254.54
linear,socket,188,533.77
linear,socket,189,260.77
linear,socket,190,513.53
linear,socket,191,123.51
linear,socket,192,573.43
linear,socket,193,129.65
linear,socket,194,271.03
linear,socket,195,298.05
linear,socket,196,442.57
linear,socket,197,83.72
linear,socket,198,309.89
linear,socket,199,127.1
linear,socket,200,310.74
linear,socket,201,110.24
linear,socket,202,399.17
linear,socket,203,251.81
linear,socket,204,128.69
linear,socket,205,124.0
linear,socket,206,123.63
linear,socket,207,486.82
linear,socket,208,317.5
linear,socket,209,406.09
linear,socket,210,122.77
linear,socket,211,297.39
linear,socket,212,108.83
linear,socket,213,316.72
linear,socket,214,365.04
linear,socket,215,129.09
linear,socket,216,255.93
linear,socket,217,409.44
linear,socket,218,486.46
linear,socket,219,580.76
linear,socket,220,470.18
linear,socket,221,367.05
linear,socket,222,451.91
linear,socket,223,590.45
linear,socket,224,454.97
linear,socket,225,555.55
linear,socket,226,295.17
linear,socket,227,467.16
linear,socket,228,336.61
linear,socket,229,482.3
linear,socket,230,491.13
linear,socket,231,480.94
linear,socket,232,508.7
linear,socket,233,447.48
linear,socket,234,419.43
linear,socket,235,344.82
linear,socket,236,492.0
linear,socket,237,456.0
linear,socket,238,552.98
linear,socket,239,543.46
linear,socket,240,368.01
linear,socket,241,383.0
linear,socket,242,313.7
linear,socket,243,336.81
linear,socket,244,462.26
linear,socket,245,456.7
linear,socket,246,473.65
linear,socket,247,426.36
linear,socket,248,489.6
linear,socket,249,584.34
linear,socket,250,405.53
linear,socket,251,420.42
linear,socket,252,553.3
linear,socket,253,552.43
linear,socket,254,643.65
linear,socket,255,517.73
linear,socket,256,595.62
